#RODADA,C1,C2,C3,GE,GV,R1,R1,E,E,T,T,R,R,V,V,R2,R2,T,T,R,R,V,V,R3,R3,T,T,R,R,V,V,P,P
1,1,2,6,0,0,2,10,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,9,10,0,1,10,2,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,6,9,0,0,2,7,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,1
4,1,7,10,0,1,7,2,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,9,2,0,0,0,0,0,1,0
5,2,5,6,0,0,2,3,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,2
6,1,3,3,0,1,3,2,2,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,8,2,0,0,0,0,0,2,0
7,3,10,13,0,0,10,9,0,0,0,0,0,0,0,0,13,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
8,6,9,10,0,1,9,10,0,0,0,0,0,0,0,0,6,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
9,5,6,9,0,1,5,7,0,0,0,0,0,0,0,0,9,8,2,0,0,0,0,0,0,10,0,0,0,1,0,0,2,4
10,7,8,10,0,0,7,5,0,0,0,0,0,0,0,0,8,9,0,2,0,0,0,0,10,0,0,0,2,0,0,0,4,2
11,3,6,10,0,0,10,8,0,0,0,0,0,0,0,0,3,9,2,0,0,2,0,0,6,2,0,0,0,0,0,0,2,5
12,2,8,9,0,1,8,10,0,0,0,0,0,0,0,0,9,3,0,2,2,0,0,0,2,6,0,0,0,0,0,0,5,2
13,3,9,10,0,1,3,4,0,1,0,0,0,0,0,0,9,1,0,2,2,0,0,0,10,12,0,0,0,0,0,0,5,6
14,1,4,12,0,0,4,3,2,0,0,0,0,0,0,0,1,9,2,0,0,2,0,0,12,10,0,0,0,0,0,0,6,5
15,5,9,11,0,1,9,6,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8
16,6,6,10,0,0,6,9,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,5
17,1,7,14,0,0,1,10,0,1,0,0,0,0,0,0,7,3,0,0,0,0,0,0,14,12,2,0,0,2,2,0,7,8
